Date,Date,NAV,Quote
2020-03-01,2020-03,24.469999313354492,DXS7.DE
2020-04-01,2020-04,19.642000198364258,DXS7.DE
2020-05-01,2020-05,22.635000228881836,DXS7.DE
2020-06-01,2020-06,24.90999984741211,DXS7.DE
2020-07-01,2020-07,24.094999313354492,DXS7.DE
2020-08-01,2020-08,22.639999389648438,DXS7.DE
2020-09-01,2020-09,23.625,DXS7.DE
2020-10-01,2020-10,24.600000381469727,DXS7.DE
2020-11-01,2020-11,26.19499969482422,DXS7.DE
2020-12-01,2020-12,27.4950008392334,DXS7.DE
2021-01-01,2021-01,28.665000915527344,DXS7.DE
2021-02-01,2021-02,28.385000228881836,DXS7.DE
2021-03-01,2021-03,31.704999923706055,DXS7.DE
2021-04-01,2021-04,32.65999984741211,DXS7.DE
2021-05-01,2021-05,33.19499969482422,DXS7.DE
2021-06-01,2021-06,35.099998474121094,DXS7.DE
2021-07-01,2021-07,38.29999923706055,DXS7.DE
2021-08-01,2021-08,36.72999954223633,DXS7.DE
2021-09-01,2021-09,36.94499969482422,DXS7.DE
2021-10-01,2021-10,37.625,DXS7.DE
2021-11-01,2021-11,40.244998931884766,DXS7.DE
2021-12-01,2021-12,41.78499984741211,DXS7.DE
2022-01-01,2022-01,41.46500015258789,DXS7.DE
2022-02-01,2022-02,40.064998626708984,DXS7.DE
2022-03-01,2022-03,39.73500061035156,DXS7.DE
2022-04-01,2022-04,39.79499816894531,DXS7.DE
2022-05-01,2022-05,37.47999954223633,DXS7.DE
2022-06-01,2022-06,34.564998626708984,DXS7.DE
2022-07-01,2022-07,32.77000045776367,DXS7.DE
2022-08-01,2022-08,32.994998931884766,DXS7.DE
2022-09-01,2022-09,34.810001373291016,DXS7.DE
2022-10-01,2022-10,30.5,DXS7.DE
2022-11-01,2022-11,26.06999969482422,DXS7.DE
2022-12-01,2022-12,22.459999084472656,DXS7.DE
